1	2		qué quiere decir esto?
2	3	eligible cases and reduces cognitive complexity by a total of 295 points (all eligible cases improve), with 100 % exact agreement against SonarQube on the full corpus. Regarding the language models,	idem
3	6		métodos
4	7	trabajo y da sentido a sus tres preguntas de investigación.	línea viuda
5	7	de Java responde a tres motivos: es el lenguaje sobre el que SonarSource define y populariza la complejidad cognitiva, dispone de bibliotecas maduras de manipulación de AST (JavaParser) y	seguro??? No lo tengo tan claro
6	7	—	Aquí falta un poco de texto para presentar las preguntas de investigación
7	8	—	Aquí falta un poco de texto para presentarlas contribuciones. Este estilo telegráfico no es muy bienvenido en estos documentos, además delata el uso de IA para escritura, lo cual está prohibido si no se dice de qué forma se ha usado ((el tribunal podría suspender el trabajo si ve indicios suficientes de escritura mediante IA). Copio el uso no permitido:•Presentar trabajos o informes generados por IA como creación personal. •Incorporar contenido generado por IA sin la debida cita. •Usar IA para responder preguntas de exámenes o pruebas de evaluación continua, salvo otras indicaciones del equipo docente.
8	8	—	(el tribunal podría suspender el trabajo si ve indicios suficientes de escritura mediante IA)
9	8	cubre carga de corpus, detección, transformación, medición y exportación de artefactos.	cubre la carga
10	9	2 Antecedentes	son capítulos? No lo parece. En los libros los capítuslo tienen una cabecera más grande. Parecen secciones
11	12		LLMs
12	12		extranjerismos en cursiva
13	12	—	Hay un trabajo que obvias y que tiene mucha relación con este. Se trata del TFM de Andrés Juárez. No recuerdo si está publicado en arXiv, pero creo que debe estar en RIUMA.
14	13	reproducir la refactorización frente a un baseline determinista.	línea viuda
15	13	—	Aquí falta el trabajo de Andrés Juárez, que se parece a este pero aborda otra transformación
16	15	—	Este ejemplo es aún peor porque usa dos returns booleanos y se puede quitar el if.... No sé si es el mejor ejemplo. Si poners algo qu eno devuelve Booleano quizá iría mejor (o que relaice alguna acción en caso positivo)
17	15	—	Pero podría haber más if anidados, ¿esto se considera?
18	15	colaterales. No se debe a que la combinación deje de preservar el comportamiento en su presencia, sino a que solo bajo esa restricción puede garantizarse la seguridad de forma automática y verificable sobre la estructura del código, sin recurrir a un análisis semántico que excede el alcance del prototipo. El conjunto completo de precondiciones se formaliza en la Subsección 5.2.3.	aquí tengo dudas, si tiene efectos laterales no sería igual??
19	16	(cada nivel un único if, sin else ni sentencias intercaladas) se reduce aplicando la regla de combinación de forma repetida, un par cada vez, hasta que una precondición lo impida; por eso	OK, entonces entiendo que sí se cubre
20	16		se han mencionado ya dos veces sin haberlas presentado
21	17	y B sin efectos colate-	esto no creo que sea necesario
22	17	terno Efectos colaterales o asignaciones en las condiciones	no veo por qué
23	17	las condiciones streams, concu- rrencia	no veo tampoco esta restricción
24	19	—	haz máz anchas las dos primeras columnas y la tercera más estrecha
25	19		esto es un nuevo nombre para RQ1? Yo creo que repetiría la pregunta original (lo mismo con RQ2 y RQ3)
26	19	—	Demasiado esquemático. Típicamente se espera aquí un párrafo donde expliques cómo abordas la preguntas de investigación
27	19	—	Te digo lo mismo en las demás
28	22	las precondiciones P1–P5: en ausencia de efectos colaterales en A y B, el operador && preserva la evaluación en cortocircuito y, por tanto, el comportamiento observable. Esta propiedad de diseño está justificada	con efectos colaterales no la preserva?
29	22		qué es esto ? Quizá debería spoenr referencia o explicar
30	22	. Un flujo alter-	En Java, si no recuerdo mal, las ramas "else if no existen, en realidad son ramas else desde el punto de vista del AST (lo puedes confirmar en JavaParser)
31	22	.	idem
32	22	Ao B) contiene: llamadas a método (MethodCallExpr), asignaciones (AssignExpr), operadores de incremento o decremento ( ++, --), expresiones lambda ( LambdaExpr) ni instanciaciones con new (ObjectCreationExpr).	pues esta no la entiendo, yo creo que no es necesario
33	23	: cualquiera de esas construc-	demasiado conservador, yo creo qeu se puede eliminar, no veo ninguna justificación par amantenerlo. Si no la tienes el tribunal va a preguntar
34	24	interno vacío (P4’) y, en P5, admite dos excepciones controladas. La primera	claro! por qu é no?
35	24	—	Sigo sin encontrar justificada la restricción P5
36	24		defensiva? Esto suerna raro
37	24		¿Qué es el aliasing?
38	24	—	Explícalo
39	24	Cuando alguna condición es una expresión ||, se encapsula mediante EnclosedExpr	solo esto? No hay más casos en que hay que aplicar paréntesis? Yo diría que siempre. De todas formas, entiendo que JavaParser controla esto, no?
40	24		no hay equivalente en español? "una por una"
41	24	: tras	aquí lo tienes
42	24	queden más oportunidades o se alcance un límite de seguridad de 10 pasadas ( MAX_PASSES enBatchRunner). Esta política se adoptó al observar que aplicar todas las oportunidades en un	qué es todo esto? Explicar
43	25	(STRICT), los casos con else, lambdas, llamadas a método o múltiples sentencias quedan fuera de alcance. Esta restricción es coherente con la estrategia conservadora del anteproyecto y permite que el pipeline determinista actúe como baseline verificable frente a los LLMs en RQ3.	sigo sin ver esto
44	28	—	Esto es muy pequeño, no se lee bien
45	28	, se organiza en las	esto qué es? debes explicarlo si vas a hablar de él
46	28	El código fuente se parsea mediante	este verbo no existe. En español es análisis sintáctico, puede shablar de lectura también
47	28	. Se calcula la complejidad cognitiva inicial del método antes de aplicar	previa? antes?
48	28	Sobre un clon del AST se aplica la políticaone-at-a-time (véase Subsección 5.2.5), re-detectando tras cada cambio hasta alcanzar un	español
49	29	after. Una vez finalizado el proceso iterativo, se vuelve a calcular la complejidad	Medición posterior?
50	29	CampaignExecutor y LlmCampaignRunner,	explicar qué es esto?
51	30	—	AQuí fatla un poco de texto para explicar lo que viene aquí
52	31	Ninguna de las dos condiciones contiene efectos colaterales: las cinco categorías descritas en Subsección 5.2.3.	No recuerdo si en las categorías incluías los pre-incrementos y post-incrementos, creo que no son asignacinoes técicamente
